Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI,Log_Age
1.4223425629434225,1,88.3,1.71,180,157,60,1.69,1313.0,Yoga,12.6,3.5,4,3,0.7938549622544769,4.02535169073515
0.6009648469104533,0,74.9,1.53,179,151,66,1.3,883.0,HIIT,33.9,2.1,4,2,1.0640639013790996,3.828641396489095
-0.5489639555357039,0,68.1,1.66,167,122,54,1.11,677.0,Cardio,33.4,2.3,4,2,-0.029880285352090395,3.4657359027997265
-1.1239283567587823,1,53.2,1.7,190,164,56,0.59,532.0,Strength,28.8,2.1,3,1,-0.9769339559942952,3.218875824868201
-0.056137325915922236,1,46.1,1.79,188,158,68,0.64,556.0,Strength,29.2,2.8,3,1,-1.5808379664839645,3.6375861597263857
1.4223425629434225,0,58.0,1.68,168,156,74,1.59,1116.0,HIIT,15.5,2.7,5,3,-0.655254163003233,4.02535169073515
-0.2204128691225161,1,70.3,1.72,174,169,73,1.49,1385.0,Cardio,21.3,2.3,3,2,-0.17264660639239382,3.58351893845611
0.10813821729067163,0,69.7,1.51,189,141,64,1.27,895.0,Cardio,30.6,1.9,3,2,0.8496580742316331,3.688879454113936
-0.8775150419488915,1,121.7,1.94,185,127,52,1.03,719.0,Strength,28.9,2.6,4,2,1.1151071804232136,3.332204510175204
-0.8775150419488915,1,101.8,1.84,169,136,64,1.08,808.0,Cardio,29.7,2.7,3,1,0.7745083277682592,3.332204510175204
0.19027598889396857,1,120.8,1.67,188,146,54,0.82,593.0,HIIT,20.5,3.0,2,1,2.7641515488305464,3.713572066704308
1.1759292481335317,1,51.7,1.7,175,152,72,1.15,865.0,HIIT,23.6,3.5,3,2,-1.0548958648445426,3.970291913552122
1.5044803345467195,1,112.5,1.61,195,165,61,1.24,1013.0,Cardio,22.1,2.7,3,2,2.777149660589962,4.04305126783455
0.19027598889396857,1,94.5,2.0,179,136,69,1.18,794.0,HIIT,27.6,3.7,3,1,-0.19335180379193134,3.713572066704308
-1.534617214775267,1,117.7,1.81,196,161,54,1.35,1195.0,Yoga,26.4,3.3,3,2,1.6544695362177273,2.995732273553991
0.0260004456873747,0,42.5,1.75,181,131,52,1.13,740.0,Strength,26.2,2.1,2,1,-1.657483081413599,3.6635616461296463
-1.616754986378564,0,64.0,1.53,166,167,58,1.33,1111.0,HIIT,29.8,2.3,3,2,0.36465253803119924,2.9444389791664403
0.19027598889396857,0,43.8,1.77,182,165,58,1.19,884.0,Cardio,31.9,1.6,3,1,-1.6419958967569968,3.713572066704308
0.6831026185137502,0,66.8,1.75,199,146,56,1.13,742.0,Strength,32.8,2.5,3,2,-0.4656396043357572,3.8501476017100575
1.3402047913401256,0,75.2,1.67,188,167,51,1.37,1030.0,HIIT,25.2,2.2,2,1,0.30819347792540386,4.007333185232471
-1.616754986378564,1,89.0,1.77,175,127,72,1.5,1048.0,Strength,28.9,3.7,4,2,0.5251140714918334,2.9444389791664403
-0.056137325915922236,1,71.9,1.77,197,142,72,1.12,875.0,Cardio,25.7,3.1,2,1,-0.2947439032217725,3.6375861597263857
